"","team","position","type","count"
"715","Bowling Green","RB","Incoming",1
"716","Bowling Green","RB","Outgoing",2
"717","Bowling Green","RB","Delta",-1
"718","Bowling Green","S","Incoming",2
"719","Bowling Green","S","Outgoing",2
"720","Bowling Green","S","Delta",0
"721","Bowling Green","TE","Incoming",2
"722","Bowling Green","TE","Outgoing",0
"723","Bowling Green","TE","Delta",2
"724","Bowling Green","WR","Incoming",2
"725","Bowling Green","WR","Outgoing",2
"726","Bowling Green","WR","Delta",0
"727","Brown","CB","Incoming",0
"728","Brown","CB","Outgoing",1
"729","Brown","CB","Delta",-1
"730","Brown","DL","Incoming",0
"731","Brown","DL","Outgoing",1
"732","Brown","DL","Delta",-1
"733","Brown","S","Incoming",0
